,dataset_type
0,_phy_spikes_subset.channels
1,_phy_spikes_subset.spikes
2,_iblrig_Camera.raw
3,licks.times
4,clusters.channels
5,_phy_spikes_subset.waveforms
6,clusters.brainLocationIds_ccf_2017
7,wheel.position
8,electrodeSites.mlapdv
9,_spikeglx_sync.polarities
10,wheelMoves.intervals
11,_ibl_log.info
12,spikes.clusters
13,clusters.waveforms
14,ephysData.raw.lf
15,_spikeglx_sync.times
16,trials.itiDuration
17,trials.rewardVolume
18,_iblqc_ephysSpectralDensity.power
19,_iblqc_ephysChannels.labels
20,clusters.uuids
21,wheel.timestamps
22,_iblqc_ephysTimeRms.rms
23,_iblqc_ephysSpectralDensity.freqs
24,drift_depths.um
25,_iblqc_ephysChannels.rawSpikeRates
26,ephysData.raw.sync
27,_iblqc_ephysTimeRms.timestamps
28,spikes.templates
29,camera.features
30,electrodeSites.brainLocationIds_ccf_2017
31,ephysData.raw.wiring
32,trials.contrastLeft
33,trials.goCueTrigger_times
34,channels.brainLocationIds_ccf_2017
35,channels.mlapdv
36,templates.amps
37,ephysData.raw.nidq
38,spikes.amps
39,channels.localCoordinates
40,clusters.metrics
41,wheelMoves.peakAmplitude
42,camera.dlc
43,ephysData.raw.ap
44,trials.contrastRight
45,templates.waveformsChannels
46,templates.waveforms
47,camera.times
48,camera.ROIMotionEnergy
49,trials.feedbackType
50,channels.rawInd
51,spikes.depths
52,trials.choice
53,clusters.amps
54,trials.stimOn_times
55,clusters.waveformsChannels
56,trials.probabilityLeft
57,clusters.mlapdv
58,_iblqc_ephysChannels.RMS
59,drift.um
60,trials.response_times
61,trials.goCue_times
62,ephysData.raw.meta
63,ROIMotionEnergy.position
64,drift.times
65,spikes.times
66,electrodeSites.localCoordinates
67,trials.stimOff_times
68,clusters.peakToTrough
69,kilosort.whitening_matrix
70,_spikeglx_sync.channels
71,clusters.depths
72,ephysData.raw.ch
73,spikes.samples
74,clusters.brainLocationAcronyms_ccf_2017
75,trials.firstMovement_times
76,trials.intervals
77,ephysData.raw.timestamps
78,trials.feedback_times
79,probes.description
80,trials.table
