,eid,pid,left_video,right_video
5,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,6506252f-1141-4e11-8816-4db01b71dda0,True,True
6,032ffcdf-7692-40b3-b9ff-8def1fc18b2e,d213e786-4b1c-477d-a710-766d69fa1ac1,True,True
20,6ed57216-498d-48a6-b48b-a243a34710ea,0909252c-3ad0-413f-96f5-7eff885b50aa,True,True
21,6ed57216-498d-48a6-b48b-a243a34710ea,e45a00b1-14a0-4f5e-9ea5-9f76d042b11c,True,True
25,ee212778-3903-4f5b-ac4b-a72f22debf03,0777b1bf-964b-49b7-888b-8a6c9df09c3b,True,True
26,ee212778-3903-4f5b-ac4b-a72f22debf03,9793c99d-f918-4931-8bba-fdb978bd8e0a,True,True
27,91a3353a-2da1-420d-8c7c-fad2fedfdd18,08ed0b3c-9f94-4c1f-8522-3d42a642a6b0,True,True
28,91a3353a-2da1-420d-8c7c-fad2fedfdd18,a85b9795-f99c-4c1d-a376-8b5ef095ffd7,True,True
29,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,43b9b189-5221-46a0-928a-e137bc326534,True,False
30,5157810e-0fff-4bcf-b19d-32d4e39c7dfc,c410fda5-a6db-4697-a7e3-6ed65601844d,True,False
31,8ca740c5-e7fe-430a-aa10-e74e9c3cbbe8,ef7e9f3e-a53a-4e00-8f6a-537667af2bea,True,True
35,51e53aff-1d5d-4182-a684-aba783d50ae5,18be19f9-6ca5-4fc8-9220-ba43c3e75905,True,True
36,51e53aff-1d5d-4182-a684-aba783d50ae5,1a60a6e1-da99-4d4e-a734-39b1d4544fad,True,True
39,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,7c11adc6-adbd-484f-8ae9-13946285e3f8,True,False
40,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,e4632651-5ba7-48a7-86db-5298b45a5bac,True,False
45,64e3fb86-928c-4079-865c-b364205b502e,da17779f-7728-4c51-8b54-b88764c0908d,True,True
51,a405053a-eb13-4aa4-850c-5a337e5dc7fd,450cea3b-9289-4708-9df2-a2518bdc4b59,True,True
53,3d59aa1a-b4ba-47fe-b9cf-741b5fdb0c7b,aeb06797-fddf-4ad2-b0ef-dd1b0f54d034,True,False
54,034e726f-b35f-41e0-8d6c-a22cc32391fb,5e84c8e7-236f-4a64-a944-dc4a17c64f1d,True,True
55,034e726f-b35f-41e0-8d6c-a22cc32391fb,8fbfa285-d721-4a1a-8c18-f36652c17909,True,True
64,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,f86e9571-63ff-4116-9c40-aa44d57d2da9,True,True
65,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,fd555d39-b728-44aa-90d2-796b8bb58300,True,True
69,ecb5520d-1358-434c-95ec-93687ecd1396,e55266c7-eb05-47bb-b263-1cc08dc3c00c,True,True
70,ecb5520d-1358-434c-95ec-93687ecd1396,f2ee886d-5b9c-4d06-a9be-ee7ae8381114,True,True
76,4b00df29-3769-43be-bb40-128b1cba6d35,461ecb39-ab58-4a6c-acd7-22da5b4b4b22,True,True
77,4b00df29-3769-43be-bb40-128b1cba6d35,8d59da25-3a9c-44be-8b1a-e27cdd39ca34,True,True
85,f312aaec-3b6f-44b3-86b4-3a0c119c0438,d585f4b5-d154-4666-92c4-eb219f1e0f02,True,True
86,f312aaec-3b6f-44b3-86b4-3a0c119c0438,eeb27b45-5b85-4e5c-b6ff-f639ca5687de,True,True
91,d2f5a130-b981-4546-8858-c94ae1da75ff,2d2cdf86-4a0c-42d8-aed3-5b187f160013,True,False
92,d2f5a130-b981-4546-8858-c94ae1da75ff,79628a45-c2e3-4206-97df-4c91edaff90f,True,False
95,dda5fc59-f09a-4256-9fb5-66c67667a466,69f42a9c-095d-4a25-bca8-61a9869871d3,True,True
96,dda5fc59-f09a-4256-9fb5-66c67667a466,8169d556-f994-4735-b4c8-f7c85ddc39b0,True,True
106,6364ff7f-6471-415a-ab9e-632a12052690,516b2043-0176-49a3-a986-132b3d02f28a,True,True
143,16c3667b-e0ea-43fb-9ad4-8dcd1e6c40e1,c0c3bcca-6a79-47ef-becb-b1a157a3f2cb,True,True
