,eid,has_photometry
0,a9d7aed6-0c95-47bc-9db3-2db22b383716,True
1,4f169523-a844-4bac-9746-e4fa113dd621,True
2,da91583f-f0db-4d56-9679-f1ffa95855e1,True
3,91c3fb5e-4d55-4de7-858e-f9d9f24a42b8,True
4,44093ff5-40ed-4649-80d0-1a3b5f482884,True
5,dc359095-3490-4252-8c37-69f74945ae8a,True
6,78f273c2-6486-4845-a935-da1ae5c98eff,True
7,b1420283-3782-40fd-bb03-d8a80b63aa63,True
8,4ad45323-1e9c-48ed-af88-4c587517233b,True
9,2e06f551-323f-4d92-bbef-f35c60da87f5,True
10,76fa8023-62cb-450f-84e3-e0d1bd45d4c9,True
11,0300fe04-77cf-4232-a2d0-e6317d5b33bb,True
12,72953772-c654-495e-8216-63095a841427,True
13,93cb2012-21c6-4811-8f34-d8e62a11b365,True
14,fea96cfe-79fd-41f0-844e-39233c3ad521,True
15,343b2786-5026-437f-91cf-94f1130ad869,True
16,7372397e-9747-469e-99b4-88053158d1c7,True
17,07db3ce4-2209-4eb1-849b-980ab9276068,True
18,8fa60561-7878-4c9e-ac50-4b1c43244b21,True
19,77fb872c-19de-419a-ad88-bd0e97176a20,True
20,f38cf46d-4b4d-4eef-9641-77eb899655d0,True
21,d23c4657-2839-4586-9d72-1a04cb08cf31,True
22,d94b2ae4-e581-4dee-bc0a-5d8e2b048bf8,True
23,279ab728-7d4e-450d-ab8c-a55886cd22b2,True
24,e90cd21e-ce10-48f3-af7f-38c2594ed283,True
25,da4a516c-2b23-45a8-a523-6f3f38c40681,True
26,c98f09a0-59a1-4e70-9a15-f261ed476e09,True
27,e320f15e-f884-4c42-9af7-9ec373e9b7c5,True
28,5790b60d-8070-4e9b-8bf8-d2c6fb8c4908,True
29,057b8bd0-a039-40bf-9dd0-3566093df836,True
30,6da3b727-8696-405e-837b-ed7208235fb9,True
31,78b74abe-400a-4739-8432-c2b4d59885fc,True
32,0aa91b92-3872-4d64-bec8-cfb441a03e31,True
33,beba689c-d417-47a7-89d0-c245ec47f464,True
34,0c6d25fc-c3ea-4b7c-899b-6a20363511bf,True
35,3b4d69ef-0ca7-46ba-b6d9-68ecd2e3ed02,True
36,3204c2c4-83f2-495c-87d1-4d680a2fc8e4,True
37,0327b074-d8e1-43a4-b2d2-db6a82d63649,True
38,ec8e13c5-127a-4b0a-8f6a-65d5b2e7070b,True
39,2db21ee1-8138-4bea-8840-c81f1f0c291a,True
40,c6c60e59-493d-4fed-8ff8-8002934176c7,False
41,893c5df3-8e02-402d-9497-023cdb827e86,True
42,b13c005f-48d4-4444-80c8-6ea59be80c0f,True
43,1d3b4c41-5e6a-4683-9577-7f74e15543b2,True
44,15793697-600a-402a-8d1c-90fc78340c6f,True
45,7308245d-ee7d-4e6d-86a6-ecfa1abc0e0e,True
46,02fe38b9-c0f9-4fdc-96bb-3a64d685b44b,True
47,1fdec890-18d9-410b-aa86-3b38532188fa,True
48,091e1e4c-9abd-4faa-a840-5747b05725c2,True
49,b1b1d24a-d82f-4b26-94e8-6a108e4fb25f,True
50,115af5ef-c7ec-41f2-ba87-41cb99a329b6,True
51,d00fc17c-7784-472d-b515-7119dae59096,True
52,44e89cef-4640-44d8-96a1-bce7cff8bf63,True
53,b2575db2-044d-4be5-8342-b20c718ee021,True
54,28d8055d-1931-4362-a8e5-49a6262453d8,True
55,9ba1d2cd-2b49-450a-8a59-0c37654c8f93,True
56,a38eb2e3-8124-4845-bece-840ba86a1aed,True
57,eb85df6a-5f39-4b3d-ad9a-67bdfda04ab3,True
58,8ee26977-bd05-448e-88f4-9160b9d2ba8b,True
59,a6414eeb-aed8-4825-8888-1dd81c4cb275,True
60,1256d700-7cb7-442f-bf07-70c8530be1df,True
61,d73bc77a-85b4-4c0f-a676-8e65e1a09165,True
62,f45f39a9-e10f-4471-99d1-792d21cc91ba,True
63,f7d75955-ed10-494d-96e1-e8f469299f43,True
64,6f4411f3-f7b2-491b-b1a2-118dfc6cf283,True
65,a00befba-9845-4ecb-bef7-b6d7043387a9,True
66,0ce14d48-e394-4b34-9ccf-3103c5db6c53,True
67,7fe148e9-15e9-44b3-9dcd-86f16253c1b8,False
68,6f51ef10-957b-4c3b-91f2-c4ceb263452e,True
69,2146c4a2-d866-4ba8-9d1b-96b1068a811d,True
70,324503db-b4f5-43c4-adb1-57d165a56cf5,True
71,99307a17-8505-496e-8db5-1f28315471c1,True
72,0966f7c6-9286-450e-a000-ad6d883bbf17,True
73,2db4170b-7b96-4417-bc7e-a924243afc33,True
74,84c2ba54-c7e7-42d0-9ff0-7eca8244f5ad,True
75,d8efe52c-7066-4c97-a06d-fc4c93f917fe,True
76,2dac7e22-9952-4137-9b69-d4fe6d15d3cc,True
77,c431f822-b7d5-485b-a5af-94334859a591,True
78,f0362331-fa01-474e-81e1-877797b8a983,True
79,792a6e48-24a6-45e4-a337-ae44740a8541,True
80,cbddc1c3-ae93-4793-a73e-dd93413fc189,True
81,5ef8cae6-f7d8-40ed-b9de-1f70b194bcb7,True
82,37ccdf9c-438e-485e-a4d3-3e67cbceff3e,True
83,591c8043-f66d-46b4-8ebe-ac9a5e66fb06,True
84,a0e80b87-ef71-42e9-bbe7-4d0371c22039,True
85,f4aa778e-6a0d-4542-a0ab-4d2e2813d92b,True
86,1242037a-750c-425a-b3f6-f5a62c246133,True
87,72b5dad8-22ff-4e31-9eac-afbed641ef85,True
88,567879f7-816d-44ba-ad2f-b26b9e0311b5,True
89,d2988562-b4b0-4de8-abd6-1252ad377ec8,True
90,7d1f1c66-c31f-4218-b36d-c03787f231d8,True
91,3fffbee7-b429-4f17-964d-a250bf96933d,True
92,f2c7e8a1-1b8b-43ed-8dbe-bef52722fbf0,True
93,a933c588-4d7a-45e8-976b-4d75c0f28478,True
94,24ea94ff-7cd0-437f-81ea-6e78a0d8fbca,True
95,e7deef1c-8faa-45a5-b548-3eaabbadec4f,True
96,1544402b-6458-485f-8570-c7756c95b408,True
97,86f8d18f-bb1e-4fab-b50c-cb5b96afb3d8,True
98,b0002f10-fe09-4360-80a9-49d09c194cb1,True
99,99aeb01b-e2f6-4aab-b609-1b7d475768ce,True
100,b303b63c-3556-4a22-8fe8-5d064e2e1ddc,True
101,9f84459b-6204-4c8c-a025-cd5091de768c,True
102,74fdb9e9-e221-4a64-a01d-0a56fa32cbbf,True
103,c38cee7b-b73d-4ac8-93d3-1770735fea17,True
104,2dc38d3a-a57d-4796-b293-bc1e631e6c1e,True
105,ecbeaea2-6aa3-428d-856e-7f004dc95c73,True
106,4aa5ade5-b2d9-4921-a0b9-0fa0ee1deb02,True
107,7d4a7338-2034-4347-b2aa-55a8f6b0ae05,True
108,3c69cb31-7ab4-4d03-a96b-815603759213,True
